,agent_name,batch_size,lr,gamma,reward_mean,reward_std,training_time,solved_episode
0,1_DQN_Agent,32,0.0005,0.99,53.33501601659613,173.35173436451376,16.63,834
1,2_DQN_Agent,32,0.0003,0.99,104.08843371099891,156.03859452999893,29.64,99999
2,3_DQN_Agent,32,0.0002,0.99,56.797560588281826,169.41030356907945,33.69,1534
3,4_DQN_Agent,32,0.0001,0.99,-22.406171801339873,117.92865787329632,69.08,99999
4,5_DQN_Agent,64,0.0005,0.99,80.21589711195034,162.24633806654285,25.6,1302
5,6_DQN_Agent,64,0.0003,0.99,78.65449223253937,164.925036526971,28.53,1478
6,7_DQN_Agent,64,0.0002,0.99,123.46366421023649,147.79420741711655,28.36,99999
7,8_DQN_Agent,64,0.0001,0.99,93.15739018499916,162.80042228782798,34.82,99999
8,9_DQN_Agent,128,0.0005,0.99,4.533189885197711,172.4693995887721,17.2,599
9,10_DQN_Agent,128,0.0003,0.99,107.98269614975496,153.269676528794,31.67,1813
10,11_DQN_Agent,128,0.0002,0.99,64.92016675538527,170.82699159877055,26.76,1135
11,12_DQN_Agent,128,0.0001,0.99,81.15043520832889,163.08567963654477,40.25,1501
